anzsco_code,occupation_title,national_rating,nsw,vic,qld,sa,wa,tas,nt,act,skill_level,major_group
225311,Public Relations Professional,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
225411,Sales Representative (Industrial Products),NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
225412,Sales Representative (Medical and Pharmaceutical Products),NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
225499,Technical Sales Representatives nec,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
231111,Aeroplane Pilot,S,S,S,S,S,S,S,S,S,1,2
231112,Air Traffic Controller,S,S,S,S,S,S,S,S,S,1,2
231113,Flying Instructor,S,S,S,S,S,S,NS,NS,S,1,2
231114,Helicopter Pilot,S,S,S,S,S,S,S,S,S,1,2
231199,Air Transport Professionals nec,S,S,S,S,S,S,S,S,S,1,2
231211,Master Fisher,S,S,S,S,S,S,S,S,NS,2,2
231212,Ship's Engineer,S,S,S,S,S,S,S,S,S,2,2
231213,Ship's Master,S,S,S,S,S,S,S,S,S,2,2
231214,Ship's Officer,S,S,S,S,S,S,S,S,S,2,2
231215,Marine Surveyor,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,2
231299,Marine Transport Professionals nec,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,2
232111,Architect,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
232112,Landscape Architect,NS,NS,NS,NS,NS,NS,NS,S,NS,1,2
232212,Surveyor,S,S,S,S,S,S,S,S,S,1,2
232213,Cartographer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
232214,Other Spatial Scientist,S,S,S,S,S,S,S,S,S,1,2
232311,Fashion Designer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
232312,Industrial Designer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
232313,Jewellery Designer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
232411,Graphic Designer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
232412,Illustrator,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
232413,Multimedia Designer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
232414,Web Designer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
232511,Interior Designer,NS,NS,NS,NS,NS,NS,NS,NS,NS,2,2
232611,Urban and Regional Planner,R,R,R,R,R,R,R,S,S,1,2
233111,Chemical Engineer,NS,NS,NS,S,NS,NS,NS,S,NS,1,2
233112,Materials Engineer,NS,NS,S,S,NS,NS,S,NS,NS,1,2
233211,Civil Engineer,S,S,S,S,S,S,S,S,S,1,2
233212,Geotechnical Engineer,S,S,S,S,S,S,S,S,S,1,2
233213,Quantity Surveyor,S,S,S,S,S,S,S,S,S,1,2
233214,Structural Engineer,S,S,S,S,S,S,S,S,S,1,2
233215,Transport Engineer,S,S,S,S,S,S,S,S,S,1,2
233311,Electrical Engineer,S,S,NS,NS,S,S,NS,S,NS,1,2
233411,Electronics Engineer,NS,NS,NS,S,S,NS,NS,NS,S,1,2
233511,Industrial Engineer,NS,NS,NS,S,S,NS,NS,S,S,1,2
233512,Mechanical Engineer,NS,NS,NS,NS,S,S,NS,S,NS,1,2
233513,Production or Plant Engineer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
233611,Mining Engineer (excluding Petroleum),S,S,S,S,S,S,S,S,S,1,2
233612,Petroleum Engineer,S,S,S,S,S,S,S,S,NS,1,2
233911,Aeronautical Engineer,S,S,S,S,S,S,NS,S,S,1,2
233912,Agricultural Engineer,S,S,S,S,S,S,NS,NS,NS,1,2
233913,Biomedical Engineer,S,S,S,S,S,NS,S,NS,S,1,2
233914,Engineering Technologist,S,S,S,S,S,S,S,NS,S,1,2
233915,Environmental Engineer,S,S,S,S,S,S,S,S,S,1,2
233916,Naval Architect / Marine Designer,S,S,S,S,S,S,S,S,S,1,2
233999,Engineering Professionals nec,NS,NS,NS,S,S,NS,NS,NS,NS,1,2
234111,Agricultural Consultant,S,S,S,S,S,S,S,S,S,1,2
234113,Forester / Forest Scientist,S,S,S,S,S,S,S,S,S,1,2
234114,Agricultural Research Scientist,S,S,S,S,S,S,S,S,S,1,2
234115,Agronomist,S,S,S,S,S,S,S,S,S,1,2
234116,Aquaculture or Fisheries Scientist,S,S,S,S,S,S,S,S,S,1,2
234211,Chemist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
234212,Food Technologist,NS,S,NS,NS,NS,NS,NS,NS,NS,1,2
234213,Wine Maker,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
234311,Conservation Officer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
234312,Environmental Consultant,NS,NS,NS,NS,S,NS,NS,S,NS,1,2
234313,Environmental Research Scientist,S,S,S,S,S,S,S,S,S,1,2
234314,Park Ranger,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
234399,Environmental Scientists nec,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
234411,Geologist,S,NS,NS,NS,NS,S,NS,S,NS,1,2
234412,Geophysicist,S,S,S,S,S,S,S,S,S,1,2
234413,Hydrogeologist,S,S,S,S,S,S,S,S,S,1,2
234511,Life Scientist (General),NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
234513,Biochemist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
234514,Biotechnologist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
234515,Botanist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
234516,Marine Biologist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
234517,Microbiologist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
234521,Entomologist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
234522,Zoologist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
234599,Life Scientists nec,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
234611,Medical Laboratory Scientist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
234612,Respiratory Scientist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
234711,Veterinarian,S,S,S,S,S,S,S,S,S,1,2
234911,Conservator,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
234912,Metallurgist,S,S,S,S,S,S,S,S,NS,1,2
234913,Meteorologist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
234914,Physicist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
234915,Exercise Physiologist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
234999,Natural and Physical Science Professionals nec,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
241111,Early Childhood (Pre-primary School) Teacher,S,S,S,S,S,S,S,S,S,1,2
241213,Primary School Teacher,S,S,S,S,S,S,S,S,S,1,2
241311,Middle School Teacher / Intermediate School Teacher,S,S,S,S,S,S,S,S,S,1,2
241411,Secondary School Teacher,S,S,S,S,S,S,S,S,S,1,2
241511,Special Needs Teacher,S,S,S,S,S,S,S,S,S,1,2
241512,Teacher of the Hearing Impaired,S,S,S,S,S,S,S,NS,S,1,2
241513,Teacher of the Sight Impaired,S,S,S,S,S,S,S,NS,S,1,2
241599,Special Education Teachers nec,S,S,S,S,S,S,S,S,S,1,2
242111,University Lecturer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
242112,University Tutor,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
242211,Vocational Education Teacher / Polytechnic Teacher,S,S,S,S,S,S,S,S,S,1,2
249111,Education Adviser,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
249112,Education Reviewer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
249211,Art Teacher (Private Tuition),NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
249212,Dance Teacher (Private Tuition),NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
249213,Drama Teacher (Private Tuition),NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
249214,Music Teacher (Private Tuition),NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
249299,Private Tutors and Teachers nec,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
249311,Teacher of English to Speakers of Other Languages,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
251111,Dietitian,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
251112,Nutritionist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
251211,Medical Diagnostic Radiographer,S,S,S,S,S,S,S,S,S,1,2
251212,Medical Radiation Therapist,R,R,R,R,R,R,R,R,S,1,2
251213,Nuclear Medicine Technologist,S,S,S,S,S,S,S,NS,S,1,2
251214,Sonographer,S,S,S,S,S,S,S,S,S,1,2
251311,Environmental Health Officer,R,R,R,R,R,R,R,R,S,1,2
251312,Occupational Health and Safety Adviser,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
251411,Optometrist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
251412,Orthoptist,S,S,S,S,S,S,S,NS,S,1,2
251511,Hospital Pharmacist,R,R,R,R,R,R,R,R,S,1,2
251512,Industrial Pharmacist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
251513,Retail Pharmacist,S,S,S,S,S,S,S,S,S,1,2
251911,Health Promotion Officer,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
251912,Orthotist or Prosthetist,S,S,S,S,S,S,S,S,S,1,2
251999,Health Diagnostic and Promotion Professionals nec,S,S,S,S,S,S,S,S,S,1,2
252111,Chiropractor,S,S,S,S,S,S,S,S,S,1,2
252112,Osteopath,S,S,S,S,S,S,S,S,S,1,2
252211,Acupuncturist,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
252212,Homoeopath,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
252213,Naturopath,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
252214,Traditional Chinese Medicine Practitioner,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
252299,Complementary Health Therapists nec,NS,NS,NS,NS,NS,NS,NS,NS,NS,1,2
252311,Dental Specialist,S,S,S,S,S,S,S,S,S,1,2
252312,Dentist,S,S,S,S,S,S,S,S,S,1,2
252411,Occupational Therapist,S,S,S,S,S,S,S,S,S,1,2
252511,Physiotherapist,S,S,S,S,S,S,S,S,S,1,2
252611,Podiatrist,S,S,S,S,S,S,S,S,S,1,2
252711,Audiologist,S,S,S,S,S,S,S,S,S,1,2
252712,Speech Pathologist / Speech Language Therapist,S,S,S,S,S,S,S,S,S,1,2
253111,General Practitioner,S,S,S,S,S,S,S,S,S,1,2
253112,Resident Medical Officer,S,S,S,S,S,S,S,S,S,1,2
253211,Anaesthetist,S,S,S,S,S,S,S,S,S,1,2
253311,Specialist Physician (General Medicine),S,S,S,S,S,S,S,S,S,1,2
253312,Cardiologist,S,S,S,S,S,S,S,S,S,1,2
253313,Clinical Haematologist,S,S,S,S,S,S,NS,NS,S,1,2
253314,Medical Oncologist,S,S,S,S,S,S,S,S,S,1,2
253315,Endocrinologist,S,S,S,S,S,S,S,NS,S,1,2
